tweet_id	tweet_text	class_label
910627844375633920	Hurricane Maria knocked out all power on Puerto Rico. At least 9 people in Caribbean are now dead due to the storm.	injured_or_dead_people
910726025964900354	hurricane maria dominica image Seven people have been confirmed dead in Dominica after it was battered by Hurricane Maria.ὢ7	injured_or_dead_people
901742715435614208	Anyone close by? Plz connect &amp; help. #hurricaneharvey #houstonflooding #harvey #Harvey2017 #HarveyStorm #houstonflood #texashurricane	requests_or_urgent_needs
902635179759501314	I can only imagine how happy his heart was to hear his dads voice #PrayforTexas	sympathy_and_support
912249534998335489	RT @WRAL: New story: Mandatory evacuation issued for Ocracoke Island ahead of Hurricane Maria  #wral	displaced_people_and_evacuations
1168296828829405185	These poor families. I pray they get relief soon.	sympathy_and_support
912420164959981569	RT @carladmartin: In a matter of hours, the storm destroyed about 80 percent of the crop value in Puerto Rico.	infrastructure_and_utility_damage
908482814349385728	I made it througnt the Hurrican Irma Praise God. I am still praying and concern for other people who were affected.	sympathy_and_support
1106639626872279041	#Floods in #Malawi has left thousands displaced. Communities are now facing a second threat of flash floods following #CycloneIdai. @MalawiRedCross is providing critical life-saving relief items and ensuring communities are evacuated safely. Hear from @tmarki on the ground:	displaced_people_and_evacuations
784696153275240448	RT @mowords: Hurricane Matthew killed 840 people in Haiti, 0 in the US. Guess what the media focussed on.	injured_or_dead_people
908352702412988416	Criminal probe opened into 8 heat-related deaths at Hollywood nursing home after #HurricaneIrma	injured_or_dead_people
1167989121203093506	Coming up on @ABC6 at 11PM: -@TStudebakerABC6 tracking Hurricane Dorian -Woonsocket man in critical condition following house fire -A man died after he was found by kayakers in water at Swansea Town Beach -Jamra Hookah Lounge is latest to be closed by B.O.L. after stabbing	injured_or_dead_people
911880337910784000	weve raised over 13k already Hurricane Maria relief im so fuckin proud of yall. thank you for helping. if u cant donate, spread the link!	rescue_volunteering_or_donation_effort
911692662041870337	RT @JDEstradawriter: I rarely if ever ask for help This time Im begging Please contact your congress person &amp; talk about #PuertoRico after	requests_or_urgent_needs
1041228224280186880	RT @jaketapper: Florence trudges inland, killing at least 7 people	injured_or_dead_people
1168216736988127234	Were ramping up to support #HurricaneDorian #response and #coordination over the next few days. Please reach out if you want to support #recovery efforts. And lets hope they arent needed	rescue_volunteering_or_donation_effort
1167547300199223296	RT @youranidiota: if Dorian kills us it’s been real twitter i love y’all ὢDᾒ3	not_humanitarian
906339585524944896	Its, the whole, everybody, Barbuda, its just gone: Caribbean island reduced to rubble by Hurricane Irma	infrastructure_and_utility_damage
1107363833214050311	#CycloneIdai has hit @ChelseaFC we need help its an emergency	requests_or_urgent_needs
1039422972258217985	To our friends and families in North and South Carolina, currently in the path of Hurricane Florence: PLEASE BE SAFE. Follow all instructions by your local and state authorities to help weather the storm. This is a BIG one. #HurricaneFlorence	caution_and_advice
1167547156825333761	@realDonaldTrump Here u r, waxing poetic about how concerned u r and how youll rescue Florida from hurricane Dorian; when a few days ago u, who lack empathy, showed nothing but contempt 4 Puerto Rico, intimating that P R was somehow responsible for being in a vulnerable position. P.O.S.	not_humanitarian
1042049302078672896	#Florence update - #Charlies is safe &amp; fine. Mayodan/Rockingham was not hit as badly as the coastal areas, but Greensboro/eastern NC are in dire need. We are working now to help in recovery -heres a list of vetted charities where you can donate .	rescue_volunteering_or_donation_effort
903680950726483968	Leave it to some liberal bitch to ask @POTUS do you believe in #DACA ? Right after he finished briefing on the TRAGEDY &amp; DEATHS of #Harvey	injured_or_dead_people
901805262813716480	At least 2 dead as catastrophic Harvey flooding continues  #SHELTERINPLACE #ALERT If u can shelter in place do so,	injured_or_dead_people
902841303544860672	Sandra Bullock donates $1 million to help Hurricane Harvey relief efforts  WOW	rescue_volunteering_or_donation_effort
913508467230552065	Calling all #Drexel Dragons! Help us help one of our online students in desperate need following Hurricane Maria.	requests_or_urgent_needs
908620452754575361	Miami Heat, owner Micky Arison donate $10 million to Irma relief	rescue_volunteering_or_donation_effort
1167612145212805120	I hope Mar-a-Lago is hit dead center. If people are there, I hope they leave or have left for their safety. As for the property, I hope it is damaged beyond repair. He deserves seeing something he loves, break.	not_humanitarian
1039566379182120961	#HurricaneFlorence - - @fema has a free app for Apple &amp; Android mobile devices that will allow you to receive real-time alerts from @NWS, locate open emergency shelters near you, &amp; find disaster recovery centers where you can talk to FEMA personnel:	caution_and_advice
1168239932843995137	You stupid asshole!!! Like DeSantis actually had a hand in directing the path of the hurricane?? Donnie Douchebag, are you really as dumb and ignorant as they tweet made you sound??? ᾒAᾒAᾒAᾒA. God help us all  and vote BLUE”!!!	not_humanitarian
902818175431057408	Hurricane Harvey path LIVE UPDATES: Death toll rises to 18 as storm batters Louisiana	injured_or_dead_people
1168190848737169408	Pray for a miracle causeee	sympathy_and_support
1041542998792839168	Tornado Warning including Horry County, SC until 12:45 AM EDT	caution_and_advice
1168121613860167681	Several updates overnight on Major Hurricane #Dorian Left: Storm could stall Monday just E of West Palm, before turning north. Middle: NHC says FL landfall distinct possibility” based on avg forecast error and uncertainty factors. #FLwx Right: TS Warning #TreasureCoast	caution_and_advice
1039400780732686336	NEW: The L.A. County Fire Department will be sending their swift water rescue team to North Carolina to prep for #HurricaneFlorence due to request to respond immediately. Unclear when they will leave, gathering their gear, will depart from Pacoima facility when ready. @FOXLA	rescue_volunteering_or_donation_effort
906352714753306624	St Martin 95% destroyed by #HurricaneIrma, says official. Im in shock. Its frightening  #HurricaneIrma2017	infrastructure_and_utility_damage
1042083612148097025	Im at Morgan Street Food Hall in Raleigh, NC	not_humanitarian
1041576518344892422	ὤFἿE❤️ my heart is with all who are being affected by #HurricaneFlorence	sympathy_and_support
901813690604953600	RT @CitizenKayS: Idiot. Houston has been having @FEMA 500 year floods every year or so for the last two decades. #climatechange? .	not_humanitarian
1107910677912567808	Bridge linking Mutare to Chipinge damaged by Cyclone Idai floods in Zimbabwe #CycloneIdai #Mutare #Chipinge #Zimbabwe #CycloneIdaiZW	infrastructure_and_utility_damage
906117197533208576	Evacuation route traffic very slow - take your patience with you! #Irma #wduvtimesavertrraffic	displaced_people_and_evacuations
1167699064814592001	Hurricane Dorian: FEMA and Additional Storm-Related Resources: Introduction This Insight provides a brief overview of emergency and major declarations and federal assistance programs potentially available to those affected by  thx @EveryCRSReport	requests_or_urgent_needs
914239508245127168	RT @dannyaltman: Help the poorest people slammed by Hurricane Maria in Puerto Rico:	requests_or_urgent_needs
1168315075670740998	We need your help assembling clean up kits for those affected by #HurricaneDorian. Please call 813-523-6522 to volunteer!	requests_or_urgent_needs
1108039777641816064	#CycloneIdai response currently underway in Malawi. Response plans will extend to all affected Southern Africa countries. @Oxfam @UNZimbabwe @cgtnafrica @OxfamMalawi #TogetherWeCan	caution_and_advice
907988465362636800	Miami Residents Who Live Near Crane Broken By Hurricane Irma Told To Evacuate	displaced_people_and_evacuations
1039525171198156802	@gooner424 No one in this area needs 6 cases of water to make it through the outer bands of Hurricane Florence. Getting 700 questions about size D batteries bc people don’t keep their flashlights powered is not my idea of a good Monday at work. ὠ2	not_humanitarian
902598985889832961	These are billion dollar organizations only donating 4 mil?	not_humanitarian
1168264625630187520	Let’s all join together and pray for those in the path of Hurricane Dorian! #COGFamily Donate online at:	sympathy_and_support
906548170980765696	BREAKING #Sarasota Co issues voluntary evacuation for Level B, mandatory evacuation for Level A &amp; mobile homes.#Irma	displaced_people_and_evacuations
901675224441212932	[1a] Wall of water into #Houston metro assoc w/ #Harvey. Flash flood emergencies per @nwshouston	caution_and_advice
1167597484136456192	Community Blood Center needs donations to prepare for Hurricane Dorian  via @ndn	requests_or_urgent_needs
1168347487423385601	Residents of Camden and Glynn Counties must evacuate starting on Tuesday morning if they live east of the I-95. @ActionNewsJax @WOKVNews	displaced_people_and_evacuations
1167843351481241600	Updated 8/31 : 12:46 p.m. South Carolina Governor @henrymcmaster @SCEMD has declared a state of emergency as Hurricane Dorian approaches. We will have updated information here and on our website this evening. . Please stayed tuned.	requests_or_urgent_needs
1040356314579271681	I heard #Canada is already sending emergency electrical workers, supplies &amp; vehicles, too help us recovery after #HurricaneFlorence Thank you, Canada!	rescue_volunteering_or_donation_effort
907361397515935744	#Florida’s #smartgrid needs serious #repairs after #HurricaneIrma  @slate #Irma #PowerGrid #Hurricane #Damage #News	infrastructure_and_utility_damage
1039487196347150336	Sheriff Jenkins is hosting a storm preparedness meeting at Rapidan Fire Dept on September 11, 2018 at 7:00pm for the residents of Rapidan Village and the surrounding community likely affected by potential flooding as a result of Hurricane Florence. All	caution_and_advice
901689070065209344	#danger #tornado Tornado Warning including Channelview TX, Deer Park TX, Cloverleaf TX until 12:00 AM CDT	caution_and_advice
901710251870834688	RT @RadfordGrant1: To help people affected by #HurricaneHarvey, please text the word HARVEY to 90999 to make a $10 donation. /via @RedCross	rescue_volunteering_or_donation_effort
1039879865514827776	#HurricaneFlorence Latest: •FEMA: Today is last good day to evacuate •Parts of NC, SC could see hurricane conditions for 24 straight hrs •Parts of NC could see 40 inches of rain •Extreme inland flooding threat in NC •Working to secure hazardous waste sites in effected zones	displaced_people_and_evacuations
